en_sentence	de_sentence	fr_sentence	multi	binary
- Yours?	- Ist es deins?	- Elle est à toi ?	8	1
- Hundred dollars a night?	- Für eine Nacht? - Eine Stunde.	- La nuit ? - Une heure.	7	None
- You gotta be joking.	Du machst Witze.	Tu plaisantes !	1,7	0
Well, no, but it's got potential.	Noch nicht... kann aber noch was werden...	non... Mais le potentiel est là.	2,8	1
Why don't you put this on?	- Zieh das bitte an.	- Enfile ça. - Pourquoi ?	2	1
I'm not wearing pantyhose.	Ach, ich hab ja keine Strumpfhose an.	Mais je ne porte pas de collants !	2	1
Well, do you plan everything?	- Planst du alles?	- Tu prévois toujours tout ?	1,2	0
Always.	- Grundsätzlich.	- Toujours.	2	1
- I'm a safety girl.	- Ich gehe auf Nummer sicher.	- Je suis une fille qui se protège.	8	1
I bet you've known a lot of lawyers.	- Du kennst wohl viele Anwälte.	- Tu as connu beaucoup d'avocats.	2	1
Well, might as well make myself useful.	Dann werde ich mich nützlich machen...	Autant que je me rende utile.	3,4,8	0
- Where would we like it?	- Wo?	C'est ça le plus grave.	2	1
- What is he looking at?	Warum guckt der so?	Qu'est-ce qu'il regarde ?	2	1
- You mind if I take my boots off?	- Kann ich meine Stiefel ausziehen?	- Ça t'ennuie si j'enlève mes bottes ?	2	1
My ex-wife is now in Long Island, in my ex-home with my ex-dog.	Meine Exfrau wohnt in Long Island in meinem Exhaus mit meinem Exhund.	dans mon ex-maison avec mon ex-chien.	3,6	0
Groovy.	- Cool.	- Génial.	5	1
Stay here?	Wenn ich hier bleibe?	Rester ici ?	2,8	1
I'll be out in a minute.	Ich komme gleich.	J'arrive dans une minute.	2	1
And you shouldn't neglect your gums.	Man muss sein Gebiss gut versorgen.	Il ne faut pas négliger ses gencives.	7	None
You know, I never saw this episode.	Diese Folge hab ich noch nie gesehen.	Je n'ai jamais vu cet épisode.	5,7	1
- By the way, Phil, about your car...	- Übrigens dein Auto. - Herrje?	ta voiture... - Mon Dieu... quoi ?	6	0
It's not an easy thing to do.	Das ist nicht so leicht.	Ce n'est pas évident.	4,6	0
I have a business proposition for you.	- Ich will dir ein Geschäft vorschlagen.	- J'ai une affaire à te proposer.	2,5	1
Good stuff.	Er bezahlt.	Il paie.	5	1
I don't think we have anything for you.	Wir haben nichts für Sie.	Nous n'avons rien pour vous.	6,7	0
- What do you want it to be?	- Wie hätten Sie's denn gern?	- Comment voulez-vous m'appeler ?	2	1
Then you must be his...	Dann sind sie sicher seine...	Vous devez être sa...	2	1
I don't understand what's going on today.	Was geht hier heute vor?	Je n'y comprends rien !	4,6,7	0
He's very sweet.	- Er ist ein Schatz.	- Il est charmant.	5	1
I didn't want to mess it up.	- Und Schuhe.	Je ne veux pas l'abîmer !	4,6	0
Get her back for me, please.	Rufen Sie sie noch mal an.	s'il vous plaît.	4,6	0
Yes, tell him I'm in the middle of an important phone call.	- Das ist ein wichtiges Telefonat.	- Dites-lui que j'ai un appel important.	1	0
Then stop calling me.	- Dann ruf nicht an.	- Alors arrête d'appeler !	1,3	0
Don't slouch.	Aufrecht sitzen.	Redressez-vous.	1,3	0
- From your niece, sir.	- Von Ihrer Nichte.	- De votre nièce.	5	1
Intriguing young lady, Miss Vivian.	Eine faszinierende junge Dame... - Faszinierend...	Surprenante jeune femme.	7	None
Shall we go to dinner?	Sollen wir zum Essen gehen?	Allons à ce diner.	2	1
- Who ordered this?	- Wer hat das bestellt?	- Qui a commandé ceci ?	7	None
- I'm rich enough.	Ich bin reich genug.	Je suis assez riche.	1	0
I just want to have my shipyard.	Ich will die Werft leiten.	Je veux diriger mes chantiers navals.	1,2,6	0
I look forward to it, sir.	- Ich freue mich bereits darauf, Sir.	monsieur.	2,8	1
Thanks for the recap.	Danke für die Zusammenfassung.	Merci pour le résumé.	2,5	1
I mean... except with you.	- Nur bei dir ist es anders.	- Enfin... sauf avec toi.	2,4,8	1
Of course, not with me.	- Natürlich.	- Bien sûr !	2,3,5,8	1
You and I are such similar creatures.	Wir sind uns so ähnlich.	Toi et moi sommes semblables :	5,8	1
I hadn't spoken to him in 14 and a half years.	Ich hatte ihn seit 14,5 Jahren nicht gesprochen.	Je ne lui avais pas parlé depuis 14 ans et demi.	2	1
I wasn't there when he died.	Ich war nicht dabei, als er starb.	Je n'étais pas là quand il est mort.	4,7	0
I was getting lonely upstairs, all by myself.	Ich fühlte mich so einsam und allein da oben.	Je me sentais un peu seule là-haut.	6	0
People always do what you tell them to do?	Tun die Leute immer, was du sagst?	Les gens font toujours ce que tu leur dis ?	1	0
More shopping?	Wieder einkaufen gehen?	Encore du shopping ?	5	1
I'm surprised you didn't buy more than one dress yesterday.	Ich war überrascht, dass du nur ein Kleid gekauft hast.	Je suis surpris que tu n'aies acheté qu'une robe hier.	7	None
- I like him so much.	- Wirklich anstößig.	Je l'adore !	5,7,8	1
You're a handsome and powerful man.	Sie sind attraktiv und einflussreich.	mais puissant.	8	1
God, he is a tough old bird.	Hart gesottener Kerl.	Il est pugnace.	7	None
Well, my mother was a music teacher and married my father, whose family was extremely wealthy.	Meine Mutter war Musiklehrerin. Sie heiratete meinen Vater, der extrem reich war.	Ma mère était professeur de musique... et a épousé mon père qui était très riche.	5,8	1
I was very angry with him.	Ich war sehr wütend auf ihn.	J'étais très en colère contre lui.	1	0
Well done!	- Bravo.	- Bien joué !	5	1
- I spend time with them, yeah.	- Ich verbringe Zeit mit ihnen.	- Je les vois de temps en temps.	2,5	1
Wherever did you find her?	Wie hast du sie bloß gefunden?	Où l'as-tu trouvée ?	7	None
- I thought that was you.	- Gut.	- Bien.	2,5	1
That's good.	- Verkauf? Super.	- Formidable !	2,5,8	1
So now they're best friends?	- Jetzt sind sie Freunde?	- Et ils sont copains maintenant ?	2,7	1
Senator Adams, I'm pleased you could make it.	- Senator, willkommen.	content de vous voir !	5	1
Listen, maybe you and I could get together sometime after Edward leaves.	Vielleicht treffen wir uns mal, wenn Edward abgereist ist?	quand Edward sera parti...	2,8	1
I've never had anyone make me feel as cheap as you did today.	Mich hat nie jemand so gedemütigt, wie du das heute getan hast.	On ne m'avait jamais rabaissée comme tu l'as fait aujourd'hui.	1,3,6	0
That was stupid and cruel.	Es war dumm und grausam.	J'ai été stupide et cruel.	6,7	0
Will you stay the week?	Bleibst du noch?	Tu veux bien rester cette semaine ?	2,5	1
I didn't like it.	- Das gefiel mir nicht.	Ça ne m'a pas plu.	6	0
We were just talking.	- Wir haben bloß geredet.	On ne faisait que bavarder.	6	0
You hurt me.	Du hast mich verletzt.	Tu m'as fait du mal.	1,3,6	0
And I cried the whole time.	Ich weinte die ganze Zeit.	Je n'arrêtais pas de pleurer.	6	0
You could be so much more.	Du könntest so viel mehr sein.	Tu vaux beaucoup mieux que ça.	8	1
Something's missing.	Da fehlt noch was.	Il te manque quelque chose.	4	0
A quarter of a million dollars?	Eine Viertel Million Dollar?	Un quart de million de dollars !	7	None
We should be there in about 50 minutes.	Wir sind in 50 Minuten da.	Nous arriverons dans 50 minutes.	2	1
Because they're the best.	- Es sind die besten Plätze.	- Ce sont les meilleures.	2	1
If they don't they may learn to appreciate it, but it will never become part of their soul.	Die anderen lernen sie zu schätzen, sind aber nie mit ganzer Seele dabei.	mais on n'y mettra pas son âme.	3	0
I have to work.	Ich muss früh aufstehen.	Il est tard.	6	0
Me not work?	Ich und nicht arbeiten?	ne pas travailler ?	7	None
- He's taking the day off?	- Frei nimmt?	- Un jour de congé ?	7	None
For one thing, it'd get you off the streets.	- Du wärst von der Straße weg.	- Tu ne seras plus dans la rue.	2	1
And he would climb up the tower and rescue me.	Er kletterte auf den Turm, um mich zu retten...	et il escaladait la tour pour venir me sauver.	5,8	1
This is all I'm capable of right now.	Aber zu mehr bin ich nicht in der Lage.	C'est tout ce que je peux faire pour l'instant.	6	0
- You were supposed to come Tuesday.	- Wo warst du am Dienstag?	- Tu devais prendre l'argent mardi.	1,6,7	0
You look really good.	Du siehst toll aus.	Tu es superbe.	5	1
You clean up real nice.	Du hast dich wirklich rausgeputzt.	Tu as changé en bien.	7	None
You've fallen in love with him?	Hast du ihn geküsst?	Tu l'aimes ? Tu l'as embrassé ?	5,7	1
I've reconsidered my position on your acquisition offer.	Ich habe meinen Standpunkt in Bezug auf Ihr Angebot geändert.	J'ai reconsidéré ma position sur votre offre d'acquisition.	3	0
I'll be right outside.	- Ich warte vor der Tür.	- J'attends à côté...	8	1
- Would you like a cup of coffee?	- Möchten Sie Kaffee? - Schwarzen.	- Un café ? - Noir.	5	1
Well, I no longer wish to buy your company and take it apart.	Ich will Sie nicht mehr aufkaufen.	Je ne veux plus acheter votre compagnie pour la démanteler.	1	0
I find this hard to say without sounding condescending, but I'm proud of you.	Es soll nicht herablassend klingen, aber ich bin stolz auf Sie.	mais... je suis fier de vous.	7	None
Right now I am just freaking out.	Momentan springe ich fast aus der Hose.	Je pète les plombs...	4	0
So maybe if I screw you and take you to the opera, then I can be happy.	Wenn ich mit dir ins Bett und in die Oper gehe bin ich vielleicht glücklich...	Si je te baisais et t'emmenais à l'opéra... je serais peut-être un mec content...	5,7	1
Get out!	Raus hier!	Tirons-nous !	1	0
Why do guys always know how to hit a woman right across the cheek, wham, and it feels like your eye is going to explode?	Wieso können Kerle so gut zuschlagen? Es ist, als würde das Auge explodieren.	Les mecs frappent toujours les femmes en plein visage ! On dirait que vos yeux vont exploser.	3,6	0
Yes, I noticed you'd packed.	Ich sah, dass du gepackt hast.	J'ai vu que tu avais fait tes bagages.	6	0
There'll always be some guy, even some friend of yours, thinking he can treat me like Stuckey, thinking that it's allowed.	Es wird immer Männer geben, sogar Freunde von dir die glauben mich behandeln zu können, wie Stuckey es tat.	même un de tes amis... qui pensera qu'il a le droit de me traiter comme Stuckey.	3,4,6	0
You changed that, and you can't change it back.	Du hast es verändert. Es lässt sich nicht rückgängig machen.	Tu m'as fait changer. On ne peut pas revenir en arrière.	6	0
San Francisco's not that great, you know.	San Francisco ist nicht so toll.	c'est pas terrible.	7	None
You think I got potential?	Dass ich Potential habe?	Tu crois que j'ai un avenir ?	2,7	1
- Don't let anybody tell you different.	Lass niemanden was anderes behaupten.	Et ne laisse personne te dire le contraire !	5,8	1
What time's your bus?	- Wann geht dein Bus?	- À quelle heure est le bus ?	2	1
- Take care of you.	Pass auf dich auf.	Fais attention à toi.	2	1
You should be back in New York on time.	Sie treffen rechtzeitig in New York ein.	Vous arriverez à New York à l'heure.	2	1
So, what happened after he climbed up the tower and rescued her?	Was geschah, nachdem er sie gerettet hatte?	Que se passe-t-il après ? Il escalade la tour pour la sauver...	2	1
She rescues him right back.	Sie rettet ihn ebenfalls.	Elle le sauve aussi.	2,8	1
Everybody comes here.	Alle kommen hierher.	Quel est ton rêve ?	5	1
You're really sick, you know that?	Okay. Schon gut, ja, schon gut.	T'es complètement malade.	3	0
And to my surprise to my deep surprise, it's harder to say goodbye than I thought.	Schwänze, einer wie der andere.	Et à ma grande surprise, il est bien plus difficile de vous faire mes adieux que je ne le pensais.	6	0
Pricks, one and all.	So was gehört zu jedem Junggesellen.	A vous, bande de cons.	8	1
Hey, you know me.	Was redest du da für eine Scheiße? Ich mache einfach Urlaub, Mann.	Tu me connais. Justement.	5	1
Come on, I'm old enough to be your father.	Nein, ich würde lieber am Strand wohnen.	Je pourrais être ton père.	1	0
-For me?	Ich warte hier auf dich wie ein dummer Schuljunge.	- Pour moi?	2,7	1
I love it.	Gut, vergiss es nicht.	Je l'adore.	5,8	1
She's a wonderful girl.	Verdammt noch mal. Aus mir wird nie ein Tennisspieler.	C'est une fille formidable.	8	1
Now we're even.	Das habe ich von meiner Frau gelernt.	On est quittes, maintenant.	3,5,8	1
We're even.	Guter Kaviar!	On est quittes.	2,8	1
Sometime this year we'll take those guns to Italy and have them fitted properly.	Für mich? - Für dich.	Cette année, nous les emporterons en ltalie, pour les faire ajuster correctement.	2	1
You know, maybe it's better you're not staying here.	Die ist wundervoll.	C'est sans doute mieux que tu ne loges pas ici.	1	0
-l got lost.	Wieso, was meinst du? - Ja, wir sind quitt.	- Je me suis perdu.	6	0
I got what you gave me but I can't follow the instructions.	Sie haben dir gefallen? - Sie haben mir sehr gefallen.  Ein guter Anfang für uns.	Si, mais j'y comprends rien. La carte est de vous, Cesar?	6	0
You want some hot coffee, huh?	- Hör auf, Tibey.	Tu veux un bon café chaud?	2	1
I have a politician who's unable to make a decision.	Ja, weißt du, vielleicht ist es besser, wenn du nicht hier wohnst.	J'ai sur les bras un politicien incapable de prendre une décision.	1	0
Only whores smoke in public.	Ja, hör mal, wie wäre es mit einem Jagdausflug, morgen früh, ja? Was?  - Wie, was?	Seules les putains fument en public.	3	0
And if you don't like anyone, you just give me the sign and...out.	Er sagt zu mir, was er will und ich, ich respektiere das. Abgesehen davon, er hat mir mal das Leben gerettet.	Si quelqu'un ne te revient pas, fais-moi signe et je le mettrai dehors.	2	1
I'm sure Tibey would want you to stay.	Es wäre besser, Sie würden meine Seite der Geschichte hören. Hi.	Je suis sûre que Tibey voudrait que vous restiez.	8	1
For instance, 200 million pesos is not what it used to be.	Für die Stammbäume, verstehst du?	200 millions de pesos ne sont plus ce qu'ils étaient.	4,8	0
And these people in the union are smarter than what they used to be.	Na ja, nicht übel, hä?	Les gens du syndicat sont plus malins qu'ils ne l'étaient avant.	1,3	0
So they took your offer as an insult.	Die sind nur jung. Ja, und 20.000 Dollar wert.  Ist mit Quinones alles in Ordnung?	Ils ont été insultés par votre offre.	1,7	0
That's how marriages are arranged down here.	Es gibt doch Kansas City, Kansas, aber wir sind aus Missouri. Gearbeitet haben wir in Las Vegas und da haben wir auch Porfirio und Cisco kennengelernt.	C'est ainsi que les mariages sont arrangés, par ici.	1,8	0
I married Tibey because I was in love with him.	In Merida. - In Merida.  Alles was Sie wollen.	J'ai épousé Tibey, car j'étais amoureuse de lui.	5	1
But you are more stupid.	Ja, ganz recht.	Mais toi, tu l'es encore plus.	5	1
While you try to steal my money the union accepts an offer from Mendoza.	Das blöde Vieh saß mitten auf der Fahrbahn. Würdest du uns bitte entschuldigen, Liebling.  Ja.	Pendant que tu tentes de m'escroquer, Ie syndicat accepte une offre de Mendoza.	1	0
It is to you and you that my name means nothing.	Hi. - Hallo.	Pour toi et toi, mon nom ne signifie rien.	3,6,7	0
-No, I know how to make lemonade.	Und noch etwas.	- Non, je sais faire de la citronnade.	1	0
Are you comfortable?	Tibey hat ihn vor dem	Vous y êtes à l'aise?	2,5	1
Yeah, it's nice.	Bankrott gerettet und sie wurden enge Freunde.	Oui, c'est agréable.	5	1
I think my dog's escaping.	Es wird bekannt gemacht werden, dass Mendoza Unterstützung bekommt.	Je crois que mon chien s'est sauvé.	4	0
I guess Rocky's got more sense than both of us.	Ich glaube, Rocky hat mehr Gefühl als wir beide.	Rocky est plus sensé que nous.	7	None
Not like this. I mean, fuck him.	Nicht so.	Pas comme ça, putain.	1	0
Okay, I'm with you.	Okay, ich halt zu Dir.	D'accord, je te suis.	5,8	1
Do you think my wife is beautiful?	Ich schätze, mein Hund will abhauen.	Trouves-tu ma femme belle?	2,8	1
Now, you listen to me.	Bestimmt bin ich es ja nur.	Ecoute-moi.	1	0
As I promised.	Meiner, meiner!	Comme promis.	8	1
Your whore.	Deiner Hure.	Ta putain.	1,3	0
I warned you!	Ich hatte Dich gewarnt!	Je t'avais prévenue!	1,3,4,6	0
You know, compadre?	Nein, jeder soll sie haben können.	Tu sais, compadre?	5,8	1
Otherwise you'll never get out of Mexico alive.	An meinen Namen erinnerst du dich nie.	Sinon... tu ne sortiras pas vivant du Mexique.	4	0
When does it leave?	Los, geh jetzt, raus!	A quelle heure il part?	2	1
A little poontang might ease your mind a bit.	- Jay?	Un peu de chatte te détendrait un peu.	5,6	1
I killed a man I hated today.	- Jane. Salut, Compadre Jane.	J'ai tué un homme que je haïssais, aujourd'hui.	1	0
Wouldn't wanna mix your pleasures.	Jay. - Jane.  Salut.	Tu veux pas mélanger les plaisirs.	3	0
Hey, what are you sleeping out here for?	Oh, scheiße, Mann.	Pourquoi tu dors dehors?	2	1
I did it.	Sie können mit mir fahren. Bequem.	J'ai réussi.	5,6	1
They'll shit down their pants and run like rabbits.	Ich habe heute einen Mann getötet, den ich gehasst habe.	Ils chieront dans leur froc et s'enfuiront comme des lapins.	3,4	0
Perhaps he killed Elefante, too.	Vielleicht hat er zu viele Elefanten getötet.	Il a dû tuer Elefante aussi.	4	0
Besides, etiquette demands that I kill him.	Übrigens ist es bei uns Sitte, daß ich ihn umbringe.	En plus, les convenances exigent que ce soit moi qui le tue.	2	1
You understand?	Großartiges Pferd.	Vous comprenez?	1,7	0
I didn't say I came to kill anybody, all right?	- Ich möchte ein Zimmer. Gerne, Senor, wir haben hier eine Rock'n'	Je n'ai pas dit que j'étais venu pour tuer qui que ce soit.	2,4	1
Don't fuck me up.	Ich habe dich schon überall gesucht.	N'essaie pas de m'avoir.	1,2	0
Sorry, I'm just trying to make polite conversation.	Johnson. Es war sehr dumm, den Pferdetransporter zu behalten.	Désolée, je voulais juste bavarder un peu.	1	0
That low-life was in here last night.	Mein Name ist Amador, Mr. Cochran. Mauro ist ein Freund von mir.	Ce voyou était là, hier soir.	1,3	0
-l knew you were gonna say that.	Spielen Sie keine Spielchen.	- Je savais que tu allais dire ça.	3,5	0
Fuck you.	Also Mauro sagt, Sie suchen nach der Frau von Tiburon Mendez.	Va te faire foutre.	1,3	0
Yeah, that would be good.	Mache es dir allein.	Oui, ce serait bien.	5	1
No, no, no. lt's Saturday night, man.	- Es wird dir nicht gefallen.	On est samedi soir.	3,6	0
Goddamn it, Cochran, will you trust me?	- Ich weiß es noch nicht. Sie ist in einem Bordell und niemand weiß wo?	Bon sang, Cochran, fais-moi confiance.	1	0
What about him?	Ich kenne sein Gesicht nicht, aber ich kenne seine Stiefel.	Et lui?	7	None
We've known him since we were kids.	Nein, warte. Er arbeitet für Tibey.	On le connaît depuis qu'on est gosses.	5,8	1
If we let him live, could he forgive us?	Verdammt, du musst warten. Das ist ein Fehler.  Ich habe das Warten satt.	S'il vit, il nous pardonnerait?	4	0
Stop.	Also wenn wir jetzt aufbrechen, sind wir in einer Stunde dort?	Stop.	4	0
Assure Senor Mendez that he'll be in our prayers.	Versichern Sie Señor Mendez, daß er in unseren Gebeten ist.	Vous pouvez assurer au señor Mendez qu'il sera dans nos prières.	8	1
Qué pasó, shit!	Ich bin hier bekannt.	Qué pasó, merde!	3	0
He hunts in the morning, he comes back in the afternoon.	Es ist immer das gleiche. Er jagt am Morgen und kommt am Nachmittag zurück.	Il chasse le matin et il rentre l'après-midi.	8	1
I don't give a shit if he knows who killed him or not.	Ich gebe einen Scheiß drauf, ob er weiß, wer ihn tötet oder nicht.	Je me fous qu'il sache qui le tue ou non.	1,4	0
Then why do you show me no respect?	Ja, Patron. Warum zeigst Du mir dann keinen Respekt?	Alors, pourquoi ne me respectes-tu pas?	1	0
I do, patrón.	Das mache ich, Patron.	Je vous respecte, patrón,	4,8	0
This prick's been cheating the whole game.	Diese Wichser bescheißen ununterbrochen.	Ce con triche depuis le début.	1,3	0
-Can't you humor him?	- Nimm's mit Spaß?	Fais-lui plaisir. J'ai une faveur à lui demander.	1,8	0
Besides I can't-- l can't afford to lose 500 bucks.	Und übrigens kann ich es mir nicht leisten 500$ zu verlieren.	En plus, je n'ai pas les moyens de perdre 500 $.	4	0
I wish I could spend more than two hours with you.	Ich wünschte, ich könnte mehr als 2 Stunden bei Dir bleiben.	J'aimerais pouvoir passer plus de deux heures avec toi.	2,6	1
Jay, may I come in?	Jay, kann ich reinkommen?	Jay, je peux entrer?	2	1
Jesus!	Jesus!	Nom de Dieu!	4,7	0
It's a miracle man.	Du bist ein Künstler.	Tu es monsieur miracle.	5	1
We'll never forget it, Mary.	Wir werden es nicht vergessen, Mary.	Nous n'oublierons jamais ce que vous faites, Mary.	5,8	1
You've taken advantage of my wife.	Du hast meine Frau ausgenutzt.	Tu as abusé de ma femme.	1	0
It's bad.	Es sieht schlecht aus.	C'est pas bon.	4,8	0
She's very sick.	Sie ist sehr krank.	Elle est très malade.	6	0
It's gonna be very dangerous.	Das könnte gefährlich werden.	Ça va être dangereux.	8	1
There's nothing else I can do.	Es gibt nichts, was ich noch tun könnte.	Je ne peux rien faire d'autre.	6	0
You're a crazy son of a bitch, Cochran, but we're with you.	Du bist ein verrückter Hurensohn, Cochran, aber wir halten zu Dir.	T'es cinglé, Cochran, mais on est avec toi.	5,8	1
Environmentalists call it a disaster.	- Umweltschützer nennen es eine Katastrophe.	- Les écologistes parlent d'un désastre.	1,7	0
The greatest health threat facing our nation.	Das größte Gesundheitsrisiko, vor dem unsere Nation steht.	Le plus grand péril sanitaire qui menace notre nation.	4,6	0
The assassination is the latest act of terrorism by Cain following the bombing of a drug treatment clinic that left five dead.	Das Attentat ist der jüngste Terrorakt von Cain nach dem Brandanschlag auf eine Entzugsklinik, der fünf Leben kostete.	Ce meurtre est le dernier attentat de Cain, après l'incendie d'un centre de désintoxication qui a fait cinq morts.	1,3,4,6	0
God knows why, but they want this strike.	Wer weiß, weshalb, aber sie wollen den Streik.	C'est sûr, cette grève les arrange.	1,3	0
- You put my eye out, you bitches!	- Oh, mein Auge, ihr Zicken.	- Vous m'avez crevé l'œil, salopes.	1	0
Shut up, you fuckhead!	Halt's Maul, du Weichhirn!	Ta gueule, connard.	1	0
What a nasty man.	Was für ein böser Mann.	Quelle ordure.	3	0
Where's the bullets for this gun, man?	Wo sind die Kugeln für diese Pistole, Mann?	Les balles de ce flingue, elles sont où ?	1,7	0
- Cops are on strike, stupid.	- Die Bullen streiken, Hörni.	- Ils sont en grève, crétin.	1	0
Did you see that?	(Einbrecher lacht) Habt ihr das gesehen?	T'as vu ça ?	2,7	1
We got him!	Erwischt!	On l'a eu.	5	1
- Beautiful.	- Schön.	- Super.	5,8	1
Fucking cops!	Scheißbullen!	Enculés de flics.	4	0
It's not mine, man.	Das ist nicht meins, Mann.	C'est pas à moi, je te jure.	4	0
Nobody move.	Keiner bewegt sich.	Que personne ne bouge.	1	0
Ladies, stay down.	(Frauen kreischen) Meine Damen, bleiben Sie unten.	Mesdames, restez à terre.	1	0
Can't shoot a kid, can you, fucker?	Kannst kein Kind erschießen, was, Scheißer?	Tu peux pas tuer un gosse, hein, connard ?	1,3	0
Drop it or the little shit's dead!	Fallen lassen, oder sie ist tot!	Lâche ton flingue !	1	0
Lewis hang it up.	Lewis, nehmen Sie sie runter.	Lewis, range ton arme.	1	0
I'll fucking kill it!	- Ich bringe es um!	- Je le tuerai, putain !	1	0
We can't have that.	- Das können wir nicht zulassen.	- On ne le permettra pas.	1,6	0
And so do you consider yourself human?	Halten Sie sich also für menschlich?	Alors, vous considérez-vous comme un humain ?	2	1
I require an answer.	Ich brauche eine Antwort.	J'exige une réponse.	1	0
You have any idea what you're doing to that poor woman?	Haben Sie eine Vorstellung davon, was Sie der armen Frau antun?	Vous ne voyez pas ce que vous faites subir à cette pauvre femme ?	1	0
Trying to make her think her husband is still alive.	Lassen Sie glauben, dass ihr Mann noch lebt.	Lui faites croire que son mari est vivant.	6	0
Are you human?	Sind Sie ein Mensch?	Êtes-vous humain ?	2	1
Nothing more.	Mehr nicht.	Rien de plus.	6	0
Don't you know me?	Kennst du mich nicht?	Tu ne me reconnais pas ?	4,7	0
It's cold.	Es ist kalt.	- C'est froid.	3	0
Sorry for the slight inconvenience, Your Honor.	Verzeihen Sie die kleine Unannehmlichkeit.	Pardon pour ce léger désagrément.	3,4,6,8	0
When will you start paying the cops so they'll go back to work?	Wann bezahlen Sie die Polizisten endlich, dass sie wieder arbeiten?	Quand payerez-vous les flics pour qu'ils reviennent bosser ?	2	1
How are we supposed to raise that kind of money?	Wo sollen wir so viel Geld hernehmen?	Où voulez-vous qu'on trouve cet argent ?	1,2	0
We miss one payment, and you can foreclose?	- Sie sagen, Sie können uns übernehmen?	- Vous dites que vous pouvez tout saisir ?	7	None
Do you know how many people are dying?	Wissen Sie, wie viele Leute sterben?	Vous savez qu'il y a des morts ?	6,7	0
You're murderers!	Sie sind Mörder.	Bande d'assassins.	1,3	0
We will sue your asses.	- Wir sehen uns vor Gericht.	- On vous collera un procès au cul.	1	0
I've been very patient, Johnson.	Ich war sehr geduldig, Johnson.	J'ai été très patient, Johnson.	2	1
I'll show you what we have.	- Ja, Sir. Ich zeige Ihnen, was wir haben.	- Bien, monsieur.	2	1
It gives me great pleasure to introduce to you, Robocop 2.	Ein Fortschritt gegenüber dem Original. Es ist mir ein großes Vergnügen, Ihnen RoboCop 2 vorzustellen.	Supérieur à l'original à tout point de vue. J'ai le grand plaisir de vous présenter RoboCop 2.	5,8	1
Stripped of all that it's no wonder they become suicidal.	Wenn der ihnen fehlt, wundert es kaum, dass sie depressiv werden.	Privés de leur corps, ils deviennent forcément suicidaires.	1,3,6	0
There's no harm in hearing the young lady out, is there?	Es kann nicht schaden, die junge Dame auszuhören, oder, Johnson?	Il n'y a pas de mal à écouter cette jeune femme, non ?	2	1
We ain't forgetting who you are!	Wir vergessen euch nicht!	On t'oubliera pas.	1	0
Please, one at a time.	Einer nach dem anderen.	Chacun son tour.	1	0
There's plenty of Nuke to go around.	Da ist jede Menge Nuke für alle.	Y a du nuke pour tout le monde.	4	0
Good as money can buy.	Bessere gibt's für kein Geld.	Les meilleurs sur le marché.	5	1
Better have something to give me this time, officer.	Du hast besser was für mich dieses Mal, Herr Polizist.	J'espère que t'as des tuyaux pour moi, cette fois.	2,3	1
You should really count it, you know.	- Du solltest wirklich nachzählen.	- Tu devrais compter, tu sais.	2	1
Come on, Duffy.	Los schon, Duffy.	Duffy.	2	1
Isn't this a school day?	Ist heute nicht Schule?	Il n'y a pas école demain ?	7	None
Cops!	(Mann) Bullen!	Les flics !	7	None
Where is Cain?	- Nein! - Wo ist Cain?	- Arrête ! - Où est Cain ?	1,2	0
I'm tired.	- Ich bin müde.	Il est fendu. - Je suis crevé.	2	1
They say he's got a brain.	Er soll ein Gehirn haben.	Il a un cerveau.	1,3	0
You think it was me that beat you?	Sie glauben, ich hätte Sie besiegt?	Tu crois que c'est moi qui t'ai battu ?	6	0
How's it taste?	- Wie schmeckt das?	Ça a quel goût ?	2,7	1
Man, just look at him.	Mann, sieh sich das einer an.	La vache, regardez ça.	3,6	0
Christ, he's been stripped.	Mein Gott, er wurde völlig auseinandergenommen.	Ils l'ont mis en pièces détachées.	4,6,7	0
Let's not get carried away here.	Übertreiben Sie mal nicht.	Ne nous emballons pas.	7	None
You son of a bitch.	Sie Fiesling.	Espèce de salaud.	1,3	0
We'll be in touch.	Ich melde mich bei Ihnen.	Je vous tiendrai au courant.	1,2	0
Oh, man, you guys are the greatest!	(Duffy) Oh Mann. Sie sind die Größten.	Oh, la vache. Vous êtes trop forts.	5	1
The cops didn't give you trouble, did they?	Haben die Bullen viel Zoff gemacht?	Les flics ont pas été trop durs ?	2	1
Hey, Cain!	He, Cain.	Tiens, Cain.	7	None
You scared me.	Oh, Sie haben mir Angst gemacht.	C'est une blague. Tu m'as fait peur.	1,4,6	0
You taught me a lesson, man.	Sie haben mir eine Lektion erteilt, Mann.	Tu m'as donné une bonne leçon.	8	1
I'd never fuck with you, because I really love you guys.	Ich würde Sie nie verraten, weil ich Sie alle gern habe.	Je te ferais jamais de sale coup, parce que je t'adore.	4,8	0
You deserve this, Duffy.	Sie verdienen das.	T'as ce que tu mérites.	2,5	1
That's a good touch.	Gut mitgedacht.	Bien trouvé.	5	1
But these are criminals.	Aber das sind Verbrecher.	Mais ce sont des criminels.	7	None
They're maniacs.	Fanatiker.	Des fous.	3,4	0
You're giving premature value judgments.	Sie neigen zu übereilten Werturteilen.	C'est un jugement de valeur prématuré.	1	0
These are death row inmates!	Sie erwarten ihre Hinrichtung.	Des détenus du couloir de la mort.	4	0
